Book Name,Publisher,Author,Discounted Price,Discount Percentage,New Price,Discounted Percentage
Gökçen 2: Geride Kalanlar,Ephesus Yayınları,Loresima,"289,00",35,"187,85",
Acıların Hükümdarı,İndigo Kitap,Adora Yağmur,"299,00",40,"179,40",
Ötanazi Okulu Kutulu Set,Ephesus Yayınları,Maral Atmaca,"1.156,00",35,"751,40",
Gökçen 1: Unutulan Çiçekler,Ephesus Yayınları,Loresima,"289,00",35,"187,85",
On Üç’ü Bağlamak,Martı Yayınları,Chloe Walsh,"395,00",50,"197,50",
Bilinmeyen Bir Kadının Mektubu,İş Bankası Kültür Yayınları,Stefan Zweig,"24,00",40,"14,40",
Sakar,Metis Yayınları,Alexandre Seurat,"114,00",18,"93,48",
Bazı İnsanlar Böyle Yaşar 2,İndigo Kitap,Filiz Puluç,"299,00",40,"179,40",
Elementler Akademisi 1 - Gökyüzünün Derinliği,Yakamoz Yayınevi,Daphne Unruh,"90,00",43,"51,30",
Elementler Akademisi 2 - Gölgelerin Melodisi,Yakamoz Yayınevi,Daphne Unruh,"90,00",70,"27,00",
Varislerin Oyunu,İndigo Kitap,Adora Yağmur,"289,00",40,"173,40",
Elementler Akademisi-3 Nilüferlerin Gecesi,Yakamoz Yayınevi,Daphne Unruh,"90,00",70,"27,00",
Dokuzuncu Hariciye Koğuşu,Ötüken Neşriyat,Peyami Safa,"90,00",40,"54,00",
Fatih Harbiye,Ötüken Neşriyat,Peyami Safa,"90,00",40,"54,00",
Bronz 2 Kutulu,Ren Kitap,Özge Naz,"295,00",50,"147,50",
Gökçen 2: Geride Kalanlar Ciltli Özel Baskı,Ephesus Yayınları,Loresima,"309,00",35,"200,85",
Dördüncü Kanat,Olimpos Yayınları,Rebecca Yarros,"650,00",50,"325,00",
Sapkın Kral İmzalı,Ren Kitap,Rina Kent,"250,00",50,"125,00",
Eğer Benimle Olsaydı,Juno Kitap,Laura Nowlin,"220,00",50,"110,00",
Gökçen 1: Unutulan Çiçekler,Ephesus Yayınları,Loresima,"259,00",35,"168,35",
Gökçen 2: Geride Kalanlar,Ephesus Yayınları,Loresima,"259,00",35,"168,35",
Acıların Hükümdarı,İndigo Kitap,Adora Yağmur,"259,00",40,"155,40",
Nasıl Ölünür,İş Bankası Kültür Yayınları,Emile Zola,"26,00",40,"15,60",
Ölüm Portresi,İndigo Kitap,Büşra Nur,"289,00",40,"173,40",
İkimizin Yıkımı,Martı Yayınları,Brittainy Cherry,"295,00",50,"147,50",
3391 Kilometre Film Özel Baskı,İndigo Kitap,Beyza Alkoç,"220,00",40,"132,00",
Söyleme Bilmesinler,Doğan Kitap,Şermin Yaşar,"159,00",30,"111,30",
Kabil’in Çene Kemiği,Olimpos Yayınları,Tomas de Torquemada,"220,00",50,"110,00",
Hizmetçi,Olimpos Yayınları,Freida Mcfadden,"260,00",50,"130,00",
Satranç,İş Bankası Kültür Yayınları,Stefan Zweig,"26,00",40,"15,60",
Bronz Kutulu,Ren Kitap,Özge Naz,"290,00",50,"145,00",
Sakın Yalan Söyleme,Olimpos Yayınları,Freida Mcfadden,"260,00",50,"130,00",
İs Kokan Zeytin Ağacı,İndigo Kitap,Şule Avlamaz,"289,00",40,"173,40",
Icebreaker,Olimpos Yayınları,Hannah Grace,"260,00",50,"130,00",
Bazı İnsanlar Böyle Yaşar 2,İndigo Kitap,Filiz Puluç,"259,00",40,"155,40",
Wildfire,Olimpos Yayınları,Hannah Grace,"260,00",50,"130,00",
Aç Niyazi,Aile Yayınları,Hatice Kübra Tongar,"70,00",45,"38,50",
Dune Ciltli Kutu Set 6 Kitap Takım,İthaki Yayınları,Frank Herbert,"4.500,00",45,"2.475,00",
Nightbane - İki Diyarın Hükümdarı,Parola Yayınları,Alex Aster,"350,00",43,"199,50",
Senden Bir Parça,Ren Kitap,Michelle Gross,"240,00",50,"120,00",
Ateşpare 5,Ephesus Yayınları,Ceren Melek,"289,00",35,"187,85",
Pandora`nın Kutusu,İthaki Yayınları,Osamu Dazai,"80,00",45,"44,00",
Sobe,Martı Yayınları,N.G. Kabal,"99,00",50,"49,50",
Hyunam-Dong Kitabevi,Athica Yayınları,Hwang Bo-reum,"220,00",23,"169,40",
Kibrit,Ephesus Yayınları,Cemal Latifoğlu,"249,00",35,"161,85",
Hizmetçinin Sırrı,Olimpos Yayınları,Freida Mcfadden,"260,00",50,"130,00",
Varislerin Oyunu,İndigo Kitap,Adora Yağmur,"239,00",40,"143,40",
Cadılar Meclisi,Pukka Yayınları,Harper L. Woods,"199,00",45,"109,45",
İhtilal 1 - Zelzele - Kutulu Set,Dokuz Yayınları,Binnur Şafak Nigiz,"380,00",45,"209,00",
Saklı Gerçekler,Artemis Yayınları,Neva Altaj,"185,00",35,"120,25",
Pandora`nın Kalbi 1,Ephesus Yayınları,Dilara Keskin,"259,00",35,"168,35",
Aşk Hikayesi,Kapı Yayınları,İskender Pala,"135,00",35,"87,75",
45. Durak,Ren Kitap,Büşra Nur,"170,00",50,"85,00",
Fantom Etkisi - Doğa Dönüyor,Artemis Yayınları,Selin Solaris,"295,00",35,"191,75",
Bazı İnsanlar Böyle Yaşar,İndigo Kitap,Filiz Puluç,"299,00",40,"179,40",
Kırgın Fısıltılar,Artemis Yayınları,Neva Altaj,"149,00",35,"96,85",
Tuvaldeki Yaralar,Artemis Yayınları,Neva Altaj,"175,00",35,"113,75",
Luna,İnkılap Kitabevi,Buğra Gülsoy,"66,00",28,"47,52",
Dağlar Yıkıldığında,Ketebe Yayınları,Cengiz Aytmatov,"99,00",40,"59,40",
Sokak Nöbetçileri 3,İndigo Kitap,Aslı Arslan,"329,00",40,"197,40",
Kıl Niyazi,Aile Yayınları,Hatice Kübra Tongar,"70,00",45,"38,50",
Soytarı Çiçekleri,İthaki Yayınları,Osamu Dazai,"90,00",45,"49,50",
Cadı,İş Bankası Kültür Yayınları,Hüseyin Rahmi Gürpınar,"50,00",40,"30,00",
Kuşların Dili,Ketebe Çocuk,Cahit Zarifoğlu,"76,00",40,"45,60",
Esir Şehrin İnsanları,Ketebe Yayınları,Kemal Tahir,"220,00",40,"132,00",
Emare - Sarmaşık,İndigo Kitap,Aslı Arslan,"329,00",40,"197,40",
Bir Aşk Masalı,Yapı Kredi Yayınları,Ahmet Ümit,"85,00",35,"55,25",
Çağrışım Yolda Kalanlar,Morena Yayınevi,Oğuzhan Çabuk,"180,00",33,"120,60",
Magnolia Parks,Lapis Kitap,Jessa Hastings,"259,00",33,"173,53",
Dördüncü Kanat,Olimpos Yayınları,Rebecca Yarros,"400,00",50,"200,00",
Çalıkuşu,İnkılap Kitabevi,Reşat Nuri Güntekin,"320,00",28,"230,40",
Lanetli,Pukka Yayınları,Harper L. Woods,"199,00",45,"109,45",
Doksan Artı Dört - 1,Pukka Yayınları,Gülben Sakar,"239,00",45,"131,45",
Sokak Nöbetçileri 4,İndigo Kitap,Aslı Arslan,"299,00",40,"179,40",
Emare - Maske,İndigo Kitap,Aslı Arslan,"329,00",40,"197,40",
Malma İstasyonu,Timaş Yayınları,Alex Schulman,"200,00",28,"144,00",
Ağustosta Görüşürüz,Can Yayınları,Gabriel Garcia Marquez,"110,00",40,"66,00",
Bir Sirtaki İhtimali,Klaros Yayınları,Nurettin Tekşan,"100,00",33,"67,00",
İşaretli’nin Şarkısı,Olimpos Yayınları,S. M. Gaither,"290,00",50,"145,00",
İzmarit,Ephesus Yayınları,Cemal Latifoğlu,"249,00",35,"161,85",
Bronz Ciltli,Ren Kitap,Özge Naz,"290,00",50,"145,00",
Redd -İ Cihan Veya Marlon Brando,Araz Kitap,Payidar Zaraman,"140,00",33,"93,80",
Kızıl Karma,Doğan Kitap,Jean-Christophe Grange,"330,00",30,"231,00",
Daluyku – İs Serisi 5,Dokuz Yayınları,Binnur Şafak Nigiz,"225,00",45,"123,75",
Junıper Tepesi,Ren Kitap,Devney Perry,"210,00",50,"105,00",
17 Numara Piyes,Artemis Yayınları,Fatma Şamata,"335,00",35,"217,75",
Sokak Nöbetçileri 3,İndigo Kitap,Aslı Arslan,"289,00",40,"173,40",
Kalp Muhafızı 2,İndigo Kitap,Beyza Alkoç,"289,00",40,"173,40",
Jane Eyre,Can Yayınları,Charlotte Bronte,"160,00",40,"96,00",
Ötanazi Okulu 4,Ephesus Yayınları,Maral Atmaca,"289,00",35,"187,85",
Taş Kağıt Makas,Yabancı Yayınları,Alice Feeney,"200,00",45,"110,00",
Nişanlı,İş Bankası Kültür Yayınları,Anton Çehov,"20,00",40,"12,00",
Yüz Karası,Martı Yayınları,Brittainy Cherry,"350,00",50,"175,00",
Sobe,Martı Yayınları,N.G. Kabal,"315,00",52,"151,20",
Kargalar Meclisi,Martı Yayınları,Leigh Bardugo,"395,00",50,"197,50",
Ölüm Portresi,İndigo Kitap,Büşra Nur,"249,00",40,"149,40",
Kırdığın Yerden Kırıl,Hayykitap,Zeus Kabadayı,"190,00",45,"104,50",
Sokak Nöbetçileri 4,İndigo Kitap,Aslı Arslan,"249,00",40,"149,40",
İrade Terbiyesi,Ketebe Yayınları,Dr. Ethem Bakar,"140,00",40,"84,00",
Emare - Pusula,İndigo Kitap,Aslı Arslan,"289,00",40,"173,40",
Yılanlar Bahçesi,Olimpos Yayınları,C. N. Crawford,"260,00",50,"130,00",
Ölümcül Tahtın Senfonisi,Martı Yayınları,E. J. Mellow,"395,00",50,"197,50",
Acı Yoruldu,Alfa Yayınları,Serhan Asker,"149,00",35,"96,85",
Persona - 1,Pukka Yayınları,Asena Nişikli,"239,00",45,"131,45",
Onsra 1 - Nar,Dokuz Yayınları,Gökçen Koçan,"260,00",45,"143,00",
İs Kokan Zeytin Ağacı,İndigo Kitap,Şule Avlamaz,"239,00",40,"143,40",
Yol Ayrımı,Ketebe Yayınları,Kemal Tahir,"240,00",40,"144,00",
"İyi Kız, Kötü Son",Epsilon Yayınevi,Holly Jackson,"255,00",40,"153,00",
Mavi Sislerden,Memento Mori,Mehmet Erdem,"155,00",23,"119,35",
Son Hawthorne Hamlesi,Epsilon Yayınevi,Jennifer Lynn Barnes,"245,00",28,"176,40",
Kötülüğün Dokunuşu,Martı Yayınları,Scarlett St. Clair,"395,00",50,"197,50",
Bir Kabusa Dalmak,Artemis Yayınları,R. Ayça Kavraz,"175,00",35,"113,75",
Jujutsu Kaisen 8. Cilt,Gerekli Şeyler Yayıncılık,Gege Akutami,"120,00",23,"92,40",
Bir Karanlık Pencere,Olimpos Yayınları,Rachel Gillig,"290,00",50,"145,00",
Öyle Bir Uğradım 1 Yan Boyamalı Özel Baskı,Ephesus Yayınları,Maral Atmaca,"309,00",35,"200,85",
Siyam 3 - Küllerinden Ciltli,Epsilon Yayınevi,Beyza Aksoy,"345,00",40,"207,00",
Ortadoğu’da Bir Çocuk - Kefen,Lapis Kitap,Şehnaz Haşimoğlu,"249,00",33,"166,83",
Zeytindağı’ndaki Portakallar,Aksa Kitap,Esra Yurttaş Yılık,"150,00",50,"75,00",
Ötanazi Okulu 2 Ciltli Özel Baskı,Ephesus Yayınları,Maral Atmaca,"309,00",35,"200,85",
Çulluk,Kırmızı Kedi Yayınevi,Mahmut Yesari,"95,00",28,"68,40",
İyi Bir Kızın Cinayet Rehberi,Epsilon Yayınevi,Holly Jackson,"255,00",40,"153,00",
Ölümcül Tahtın Senfonisi,Martı Yayınları,E. J. Mellow,"295,00",50,"147,50",
Gölgenin Güneşi 2 - Vatan Uğruna,Parola Yayınları,Meryem Soylu,"230,00",40,"138,00",
Lahza 3 – Gece ve Şafak,Dokuz Yayınları,Hümeyra,"210,00",45,"115,50",
Bir Karanlık Pencere,Olimpos Yayınları,Rachel Gillig,"490,00",50,"245,00",
Şiraze,Dls Yayınları,Deniz Üstündağ,"225,00",33,"150,75",
Onsra 2 - Hun,Dokuz Yayınları,Gökçen Koçan,"260,00",45,"143,00",
İyileşme Zamanı,Hayykitap,Funda Uçuk Er,"150,00",45,"82,50",
Öyle Bir Uğradım 1,Ephesus Yayınları,Maral Atmaca,"289,00",35,"187,85",
Kalp Muhafızı 2,İndigo Kitap,Beyza Alkoç,"239,00",40,"143,40",
İhtilal 1 - Zelzele,Dokuz Yayınları,Binnur Şafak Nigiz,"320,00",45,"176,00",
İnsanlığımı Yitirirken,Tokyo Manga,Osamu Dazai,"66,00",45,"36,30",
İndigo Dağı,Ren Kitap,Devney Perry,"210,00",50,"105,00",
Körlük,Kırmızı Kedi Yayınevi,Jose Saramago,"260,00",28,"187,20",
Esir Şehrin Mahpusu,Ketebe Yayınları,Kemal Tahir,"220,00",40,"132,00",
Kaybolmuş Ruhlar Sarayı 2 - Senteria`nın Varisi,Ephesus Yayınları,Dilara Keskin,"289,00",35,"187,85",
Ötanazi Okulu 2,Ephesus Yayınları,Maral Atmaca,"289,00",35,"187,85",
Safahat,Karakteristik,Mehmet Akif Ersoy,"60,00",67,"19,80",
Sobe,Martı Yayınları,N.G. Kabal,"225,00",50,"112,50",
Kayıp Varis,Nemesis Kitap,Sophie Lark,"219,00",28,"157,68",
Cellat ve Karakuş,Juno Kitap,Brynne Weaver,"238,00",50,"119,00",
İçimdeki Güneş,Ren Kitap,Betül Güçlü,"230,00",50,"115,00",
Garnet Ovası,Ren Kitap,Devney Perry,"220,00",50,"110,00",
Saklı,Pukka Yayınları,Pınar Salman,"199,00",45,"109,45",
Efsane,Olimpos Yayınları,Lauren Asher,"290,00",50,"145,00",
Sokak Nöbetçileri: Karakter Günlükleri 7 Kitap,İndigo Kitap,Aslı Arslan,"553,00",40,"331,80",
Leyla`yı Bulmak,İnkılap Kitabevi,Serpil Coşan,"179,00",28,"128,88",
17 Numara - Katliam,Artemis Yayınları,Fatma Şamata,"315,00",35,"204,75",
Dillerin Kökeni Üzerine Deneme,Can Yayınları,Jean Jacques Rouesseau,"67,00",40,"40,20",
Aura,Olimpos Yayınları,Hakan Özkan,"180,00",50,"90,00",
Sevda Çiçeği,Pukka Yayınları,Sıla Koçak,"229,00",45,"125,95",
Unutulmuş Kuşlar Göğü - 2,Ephesus Yayınları,K. Kübra Berk,"289,00",35,"187,85",
Zavallılar,İthaki Yayınları,Alasdair Gray,"240,00",45,"132,00",
Zia Dünyayı Siliyor,Genç Timaş,Bree Barton,"140,00",28,"100,80",
Zeytindağı - Günümüz Türkçesiyle,Pozitif Yayınları,Falih Rıfkı Atay,"85,00",25,"63,75",
Bronz 2,Ren Kitap,Özge Naz,"240,00",50,"120,00",
Bazı İnsanlar Böyle Yaşar,İndigo Kitap,Filiz Puluç,"249,00",40,"149,40",
Duygusuz,Pukka Yayınları,Celia Aaron,"199,00",45,"109,45",
Ateşpare 4,Ephesus Yayınları,Ceren Melek,"289,00",35,"187,85",
Kral Icardı,Yakamoz Yayınevi,Luis Alberto,"65,00",50,"32,50",
Lıghtlark,Parola Yayınları,Alex Aster,"299,00",40,"179,40",
Hiç Bitmeyen Masal,Dex Yayınevi,Stephanie Garber,"200,00",30,"140,00",
Bronz,Ren Kitap,Özge Naz,"240,00",53,"112,80",
Çarpık Aşk,Martı Yayınları,Ana Huang,"225,00",50,"112,50",
Pusula 1: Kolezyum,Ephesus Yayınları,Kader Arvas,"249,00",35,"161,85",
Daire 7,İndigo Kitap,Beyza Alkoç,"239,00",40,"143,40",
Kırık Bir Kalp,Dex Yayınevi,Stephanie Garber,"200,00",30,"140,00",
Vurulan Atların Neşesiyle,Arion Yayınevi,Oğulcan Özkan,"120,00",33,"80,40",
Gerçeğe Dönüş,Nemesis Kitap,Emma Chase,"198,50",28,"142,92",
Labirent - Batı ve Hasımları,Yapı Kredi Yayınları,Amin Maalouf,"180,00",35,"117,00",
"Yaşına Göre Davran, Eve Brown",Artemis Yayınları,Talia Hibbert,"225,00",35,"146,25",
İçimdeki Güneş,Ren Kitap,Betül Güçlü,"290,00",50,"145,00",
Parçalanmış Yıldızlar,Pukka Yayınları,Catherine Cowles,"199,00",45,"109,45",
Zalim Prens,Nemesis Kitap,Sophie Lark,"219,00",40,"131,40",
Tolkien,İş Bankası Kültür Yayınları,Humphrey Carpenter,"210,00",40,"126,00",
Onsra 1 - Nar,Dokuz Yayınları,Gökçen Koçan,"225,00",45,"123,75",
Ölü Tanrı`nın Şarkısı,Ren Kitap,Dilara Özçelik,"260,00",50,"130,00",
Gölgenin Güneşi,Parola Yayınları,Meryem Soylu,"180,00",40,"108,00",
Kimse Kalmadığında Bunu Hatırla,Ketebe Yayınları,Silvan Alpoğuz,"189,00",40,"113,40",
Tanrıların Gölgesi,Martı Yayınları,John Gwynne,"375,00",50,"187,50",
İyi Kız Ölüme Çok Yakın,Epsilon Yayınevi,Holly Jackson,"265,00",40,"159,00",
Vaveyla 1 - Sönmüş Aldebaran Kutulu Ciltli Set,Dokuz Yayınları,Binnur Şafak Nigiz,"369,00",45,"202,95",
Kalp Muhafızı,İndigo Kitap,Beyza Alkoç,"239,00",40,"143,40",
Kalp Muhafızı,İndigo Kitap,Beyza Alkoç,"289,00",40,"173,40",
Açlık,Can Yayınları,Knut Hamsun,"68,00",40,"40,80",
"Filippo, Ben ve Kiraz Ağacı",Genç Timaş,Paola Peretti,"90,00",28,"64,80",
Yalnızız,Ötüken Neşriyat,Peyami Safa,"210,00",40,"126,00",
Karanlığın Şehri 2,İndigo Kitap,Şule Avlamaz,"289,00",40,"173,40",
Oyun,İş Bankası Kültür Yayınları,Jack London,"36,00",40,"21,60",
Ötanazi Okulu 3,Ephesus Yayınları,Maral Atmaca,"289,00",35,"187,85",
Başka Dilde Aşk,Yabancı Yayınları,Mia Sheridan,"230,00",45,"126,50",
Katıraslan,Ketebe Çocuk,Cahit Zarifoğlu,"79,00",40,"47,40",
Büyücü ve Diğer Gotik Öyküler,İthaki Yayınları,Kyoka İzumi,"125,00",26,"92,50",
Yaprak Dökümü,İnkılap Kitabevi,Reşat Nuri Güntekin,"118,00",28,"84,96",
Yıldızlar Saçıldığında Fleksi Kapak,Genç Timaş,Omar Mohamed,"295,00",28,"212,40",
Romantik Taktik,GO! Kitap,Sarah Adams,"149,00",28,"107,28",
Tanrıların Açlığı,Martı Yayınları,John Gwynne,"395,00",50,"197,50",
Sille-2,Aile Yayınları,Hüma Çalışkan,"70,00",45,"38,50",
Kör Nokta,Martı Yayınları,Kandi Steiner,"295,00",50,"147,50",
Hiçbir Dünyanın Kızı,Martı Yayınları,Carissa Broadbent,"395,00",50,"197,50",
Yılan Avı,Koridor Yayıncılık,John Verdon,"190,00",28,"136,80",
Orion,Martı Yayınları,Almina Taner,"99,00",50,"49,50",
Ötanazi Okulu 4 Yan Boyamalı Ciltli Özel Baskı,Ephesus Yayınları,Maral Atmaca,"309,00",35,"200,85",
Koş Melos!,İthaki Yayınları,Osamu Dazai,"80,00",45,"44,00",
Numenor`un Düşüşü,İthaki Yayınları,J. R. R. Tolkien,"175,00",45,"96,25",
Wendigo,İthaki Yayınları,Algernon Blackwood,"50,00",45,"27,50",
17 Numara - Katliam,Artemis Yayınları,Fatma Şamata,"245,00",35,"159,25",
Siyam II - Kanbeyaz,Epsilon Yayınevi,Beyza Aksoy,"325,00",35,"211,25",
Karanlığın Şehri 2,İndigo Kitap,Şule Avlamaz,"329,00",40,"197,40",
Daire 7,İndigo Kitap,Beyza Alkoç,"289,00",40,"173,40",
Devlet Ana,Ketebe Yayınları,Kemal Tahir,"240,00",40,"144,00",
Siyam,Epsilon Yayınevi,Beyza Aksoy,"275,00",40,"165,00",
Hırsızların Dansı Seti,Martı Yayınları,Mary E. Pearson,"790,00",50,"395,00",
Aşka Beş Kala,Sonsuz Kitap Yayınları,Lois Greiman,"60,00",65,"21,00",
Rota 1 - Yan Boyamalı Özel Baskı,Ephesus Yayınları,Leman Veli,"224,00",55,"100,80",
Suretler İzler Gölgeler,Romanoku Yayınları,Esra YÜKSEL,"160,00",33,"107,20",
Üç Günlük Dünyanın Üçüncü Günü,Azram Yayınları,Recep Arkan,"90,00",33,"60,30",
Sakın Gelini Öpme,Martı Yayınları,Carian Cole,"295,00",50,"147,50",
Bana Dokunma Novellalar 2: Beni Gör - Beni Hisset,Dex Yayınevi,Tahereh Mafi,"280,00",30,"196,00",
Nöbet Başında Aşk - 2,Parola Yayınları,Rabia Gümüş,"199,00",40,"119,40",
Bilgeler ve Yalnızlar,Dorlion Yayınları,Mahir Ulaş Akcan,"191,00",38,"118,42",
Tanrıların Açlığı,Martı Yayınları,John Gwynne,"495,00",50,"247,50",
Bir Kabusa Dalmak,Artemis Yayınları,R. Ayça Kavraz,"245,00",35,"159,25",
Bana Söylediği Son Şey,Artemis Yayınları,Laura Dave,"225,00",35,"146,25",
Hayalim Sarı Lacivert - Kadıköy’ün Kalbi Fred,İnsula Yayınları,Şubat Adalı,"70,00",33,"46,90",
Paranormal Hikayeler 2,Sia Kitap,Işıl Işık,"130,00",40,"78,00",
Aç Hayalet,İndigo Kitap,Vıctorıa Yıng,"199,00",40,"119,40",
Buraya Sevilmek İçin Gelmedim,İndigo Kitap,Michelle Quach,"189,00",40,"113,40",
Ateşpare 5 Özel Baskı,Ephesus Yayınları,Ceren Melek,"309,00",35,"200,85",
Çalıntı Sözler,Pukka Yayınları,Ashley Jade,"239,00",45,"131,45",
Fırtınada Bir Kandil: Kudüs,Ketebe Yayınları,Ömer Lekesiz,"144,00",40,"86,40",
Sevgili Venom,Ren Kitap,Parker S.Huntington,"220,00",50,"110,00",
Aklımda Bir Yer Var,Aile Yayınları,Hatice Kübra Tongar,"120,00",45,"66,00",
Ateşpare 4 Kitaplık Set,Ephesus Yayınları,Ceren Melek,"1.156,00",35,"751,40",
Ölü Tanrı`nın Şarkısı,Ren Kitap,Dilara Özçelik,"200,00",50,"100,00",
Maça Kızı 8 - 2. Kitap,Artemis Yayınları,Dilara Pamuk,"298,00",35,"193,70",
İhtilal 1 - Zelzele,Dokuz Yayınları,Binnur Şafak Nigiz,"280,00",45,"154,00",
Gizli Vuruş,Pukka Yayınları,Teagan Hunter,"189,00",45,"103,95",
İblis Keser 10. Cilt,Gerekli Şeyler Yayıncılık,Koyoharu Gotouge,"120,00",25,"90,00",
Twisted Serisi 4 Kitap,Martı Yayınları,Ana Huang,"960,00",50,"480,00",
Batan Güneş,İthaki Yayınları,Osamu Dazai,"120,00",45,"66,00",
Melankoli I - II,MonoKL Yayınları,Jon Fosse,"150,00",50,"75,00",
Ötanazi Okulu 3 - Özel Baskı,Ephesus Yayınları,Maral Atmaca,"309,00",35,"200,85",
"Alo, Harika Hanım, Nasılsınız?",İthaki Yayınları,Tarık Dursun K.,"110,00",49,"56,10",
İçinde Bir Sen 3 – Yehmum Kutulu ve Şömiz Hediyeli,Dokuz Yayınları,Binnur Şafak Nigiz,"300,00",52,"144,00",
Galateia: Bir Öykü,İthaki Yayınları,Madeline Miller,"101,00",26,"74,74",
45. Durak,Ren Kitap,Büşra Nur,"270,00",53,"126,90",
İtiraf,İş Bankası Kültür Yayınları,Lev Nikolayeviç Tolstoy,"36,00",40,"21,60",
Bekleyecek Vaktim Kalmadı Artık,Yapı Kredi Yayınları,Jean Louis Fournier,"80,00",28,"57,60",
Tersi ve Yüzü,Can Yayınları,Albert Camus,"82,00",40,"49,20",
Hayat Yolunda İnsan Kalmak,Nar Genç,Bestami Yazgan,"100,00",23,"77,00",
Felatun Bey ile Rakım Efendi,Turna Yayınları,Ahmet Mithat,"70,00",23,"53,90",
Çalıkuşu Gençler İçin,İnkılap Kitabevi,Reşat Nuri Güntekin,"103,00",28,"74,16",
Matem Çiçekleri,Epsilon Yayınevi,Beyza Aksoy,"208,50",35,"135,53",
Yeşilin Kızı Anne - Düşler Evi,Yakamoz Yayınevi,L. M. Montgomery,"90,00",72,"25,20",
Seni Bulacağım,Otantik Kitap,Harlan Coben,"225,00",33,"150,75",
Onun Gibi Yaşamaya Var mısın,Gülce Çocuk,Yağmur Karacan,"85,00",40,"51,00",
2010: İkinci Uzay Destanı,İthaki Yayınları,Arthur C. Clarke,"240,00",45,"132,00",
Genç Adam,Can Yayınları,Annie ErnauX,"72,00",40,"43,20",
Yarın ve Yarın ve Yarın,April Yayıncılık,Gabrielle Zevin,"295,00",33,"197,65",
Kağıt Adamlar,İş Bankası Kültür Yayınları,William Golding,"90,00",40,"54,00",
Kanlı Mafya Günlükleri #1: Onur,Nemesis Kitap,Cora Reilly,"198,50",40,"119,10",
"Filistin Hikayeleri, Denizden Nehre Kadar Özgür Filistin",Erdem Yayınları,Ayşe Sevim,"50,00",35,"32,50",
"Sana, Bana, Vatanıma, Ülkemin İnsanlarına Dair",İz Yayıncılık,Erdem Bayazıt,"199,00",28,"143,28",
Lahza Serisi 3 Kitap Takım,Dokuz Yayınları,Hümeyra,"630,00",45,"346,50",
Anlaşma,Martı Yayınları,T L Swan,"350,00",50,"175,00",
Riley Thorn ve Ölü Komşusu,Martı Yayınları,Lucy Score,"350,00",50,"175,00",
İblis Keser 11. Cilt,Gerekli Şeyler Yayıncılık,Koyoharu Gotouge,"120,00",23,"92,40",
Horimiya Horisan ile Miyamurakun 10. Cilt,Akıl Çelen Kitaplar,Hero,"110,00",25,"82,50",
Öldüren Nezaket,Olimpos Yayınları,Jane Casey,"290,00",50,"145,00",
Ortadan Kaybolan Fil,Doğan Kitap,Haruki Murakami,"230,00",30,"161,00",
17 Numara Piyes,Artemis Yayınları,Fatma Şamata,"265,00",35,"172,25",
Pusula 2: Kızıl Şafak,Ephesus Yayınları,Kader Arvas,"249,00",35,"161,85",
Siyam 3 - Küllerinden,Epsilon Yayınevi,Beyza Aksoy,"295,00",40,"177,00",
Peri Prensi ile Dans,Yabancı Yayınları,Elise Kova,"160,00",45,"88,00",
İslam’ın Rengi,Cezve Kitap,Jenny Molendyk Divleli,"131,00",40,"78,60",
Ayaşlı ile Kiracıları,İş Bankası Kültür Yayınları,Memduh Şevket Esendal,"44,00",40,"26,40",
Çarpık Oyunlar,Martı Yayınları,Ana Huang,"350,00",50,"175,00",
Kudüs’ün İkinci Fatihi Selahaddin Eyyübi,Genç Erdem,"Meryem Uçar,","110,00",28,"79,20",
Bavula Sığmayan,Hep Kitap,Nermin Yıldırım,"150,00",55,"67,50",
Emare - Sarmaşık,İndigo Kitap,Aslı Arslan,"289,00",40,"173,40",
Stepford Kadınları,İthaki Yayınları,Ira Levin,"129,00",45,"70,95",
Miras Oyunları,Epsilon Yayınevi,Jennifer Lynn Barnes,"265,00",40,"159,00",
Kaybolmuş Ruhlar Sarayı 2 - Senteria`nın Varisi,Ephesus Yayınları,Dilara Keskin,"259,00",35,"168,35",
Adeline`ın Peşinde,Lapis Kitap,H. D. Carlton,"259,00",33,"173,53",
Siyah Kuğu - 1,Epsilon Yayınevi,Beyza Aksoy,"345,00",40,"207,00",
Harry Potter ve Felsefe Yoldaşlığı,Teras Kitap,Gwendal Fossois,"139,00",40,"83,40",
Ruhun Yaralı Şifacısı Carl Jung,Doğan Novus,Claire Dunne,"160,00",30,"112,00",
Kazkafanın Kitabı,İş Bankası Kültür Yayınları,Yiyun Li,"130,00",40,"78,00",
Tuvalet Hayaleti Hanako-Kun 5. Cilt,Gerekli Şeyler Yayıncılık,Aidairo,"120,00",23,"92,40",
İskoç Kaçamağı,Ren Kitap,Meghan Quinn,"260,00",50,"130,00",
Kiracı,İthaki Yayınları,Marie Belloc Lowndes,"120,00",45,"66,00",
Unutulmuş Kuşlar Göğü İki Kitaplık Set,Ephesus Yayınları,K. Kübra Berk,"578,00",35,"375,70",
Düşmanım ile Aşkın Bilimsel Rekabeti,Pukka Yayınları,Claire Kingsley,"239,00",45,"131,45",
Unutulmuş Bir Kahraman,Olimpos Yayınları,Vanessa Len,"260,00",50,"130,00",
Yanılgı,İş Bankası Kültür Yayınları,Irene Nemirovsky,"52,00",40,"31,20",
Hayalet Poster + Ayraç Hediyeli,Lapis Kitap,Greer Rivers,"259,00",33,"173,53",
