Book Name,Publisher,Author,Discounted Price,Discount Percentage,New Price,Discounted Percentage
Çizgi Roman Çetesi 3 - Her Sırta Ayrı Hançer,Marmara Çizgi,Memo Tembelçizer,"150,00",33,"100,50",
Bitikler İçin Olumlamalar,Marmara Çizgi,Zehra Ömeroğlu,"90,00",33,"60,30",
Siwariyen Sersor,J&J Yayınları,Şoreş Reşi,"180,00",33,"120,60",
Rigel’in Gözleri,Yapı Kredi Yayınları,Roy Jacobsen,"90,00",35,"58,50",
Düş Şehrin Çocukları,J&J Yayınları,Hüsamettin Sevik,"140,00",33,"93,80",
Gönül Bir Yel Değirmenidir Sevda Öğütür,Tema Yayınları,Hüseyin Rahmi Gürpınar,"114,00",29,"80,94",
Tehlikenin Dna’sı,Mona Kitap,Özgür Soy,"249,00",35,"161,85",
Botan`da Her Mevsim İsyandır,J&J Yayınları,Ali Oruç,"360,00",33,"241,20",
Bir Başkadır Bizim Besni Sevdamız,Varyant Yayıncılık,Hasan Emre,"300,00",23,"231,00",
Bir Zamanlar Yazdıklarım ve Yazılanlar,Kültür Ajans Yayınları,Sabahattin Çakmakoğlu,"180,00",33,"120,60",
Düş Kefeni 2,İndigo Kitap,Emine Tavuz,"289,00",40,"173,40",
Çengek Ax,J&J Yayınları,Keremo,"120,00",33,"80,40",
Çarpışma Cilt 2,Marmara Çizgi,Oky,"150,00",33,"100,50",
Zafer,J&J Yayınları,Ali Oruç,"360,00",33,"241,20",
Bir Siyasi Mahkumun Zindan Günlükleri,J&J Yayınları,Erhan Kaya,"240,00",33,"160,80",
Sonsuzluğa Şiirler,J&J Yayınları,Gülten Yılmaz,"120,00",33,"80,40",
Kökbörüler -2 - Alpagut,İki Nokta Kitabevi,Mehmet Ali Günaydın,"150,00",33,"100,50",
Heval,J&J Yayınları,Kenan Altun,"240,00",33,"160,80",
Ben Adalet,J&J Yayınları,Raci Uğurlu,"180,00",33,"120,60",
Türkçem Seni Kim Kurtaracak,Baygenç Yayıncılık,Arslan Bayır,"180,00",33,"120,60",
Schopenhauer Ve Nietzsche,Beyoğlu Kitabevi,Georg Simmel,"280,00",28,"201,60",
Yitip Giden Aklım,J&J Yayınları,Mehmet Aksal,"180,00",33,"120,60",
Eflal 2,Artemis Yayınları,R. İDELİ,"245,00",35,"159,25",
Kul Zambağı,Baygenç Yayıncılık,Mustafa Söylemez,"90,00",33,"60,30",
İğne Deliği,Yapı Kredi Yayınları,Wieslaw Mysliwski,"250,00",35,"162,50",
Zırh,Dorlion Yayınları,Yudum Mingan,"80,00",38,"49,60",
Meseleye Vereni Ü Estoneke,J&J Yayınları,Zaza Cebeli,"120,00",33,"80,40",
20. Yüzyılın Keman Virtüözü Harika Çocuk Florızel Von Reuter,Müzik Eğitimi Yayınları,Ömer Eğecioğlu,"150,00",23,"115,50",
Bir Kol Hikayesi,Holden Kitap,Ricardo Sumalavia,"65,00",33,"43,55",
Çarpışma Cilt 1,Marmara Çizgi,Oky,"150,00",33,"100,50",
Bildiklerini Unut,Okuyan Us Yayınları,Ayşegül Ekinci,"225,00",55,"101,25",
Düş Kefeni 2,İndigo Kitap,Emine Tavuz,"239,00",40,"143,40",
Welate Ma,J&J Yayınları,Edip Yalçınkaya,"240,00",33,"160,80",
Kün ol Şiirler,Kültür Ajans Yayınları,Aşık Divane,"190,00",33,"127,30",
Herkes Kendi Cenazesinde,Pikaresk Yayınevi,Önder Çolakoğlu,"45,00",34,"29,70",
Yüreği Çocuk Kokan,J&J Yayınları,Ali Oruç,"180,00",33,"120,60",
Bilginiz Olsun,Liman Yayınevi,Kaptan Kaptangil,"158,00",33,"105,86",
Adalet,J&J Yayınları,Ali Oruç,"180,00",33,"120,60",
Cellada Mektup,J&J Yayınları,Ali Oruç,"120,00",33,"80,40",
Güneşin Çocukları,J&J Yayınları,Ali Oruç,"220,00",33,"147,40",
Derhayat,Liman Yayınevi,Devrim Ser Çindemir,"92,00",33,"61,64",
Hayvanlar Üzerine,The Kitap,Susan Orlean,"109,00",33,"73,03",
Müze Sokağı Cinayeti - Macera Geçidi 21,Genç Hayat,Tuncel Altınköprü,"110,00",30,"77,00",
Derin Bir Nefes,Ayyıldız Kitap,Serhat Şahiner,"70,00",23,"53,90",
Şiirimsi Şeyler,Evrim Yayınevi,Uğur Ersoy,"100,00",33,"67,00",
Şehir Efsaneleri - Hayalet Köy 8-13 Yaş,Öğretmen Yazarlar,Alev Dönmez,"112,00",23,"86,24",
Şehrem,Armageddon,Büşra Özdemir,"105,00",23,"80,85",
Sen Bahar Olduğunda,Armageddon,Naci Yalçın,"40,00",23,"30,80",
Zagor Sayı: 243,Lal Kitap,Antonio Zamberletti,"70,00",29,"49,70",
Karanlıkta Fısıltılar,Evrim Yayınevi,Osman Aysu,"100,00",33,"67,00",
Kader Yumurtaları,Can Yayınları,Mihail Bulgakov,"56,00",40,"33,60",
İstanbul Tanrıları - Laplace’ın Son Şeytanı,Antares Yayınları,Gökcan Şahin,"50,00",18,"41,00",
Snaker - Operasyon,Antares Yayınları,Can Serez,"40,00",18,"32,80",
Zagor Darkwood Hikayeleri Sayı: 1,Lal Kitap,Moreno Burattini,"150,00",29,"106,50",
Garip Nasıl Okuyacak,FOM Kitap,Adnan Özyalçıner,"56,00",20,"44,80",
Boğaziçi 1779,Kitap Yayınevi,Domenico Sestini,"125,00",28,"90,00",
Katya - Bir Fenerbahçe Romanı,Öğretmen Yazarlar,Hakan Tuncal,"178,00",23,"137,06",
Karanlık Gökkuşağı,Antares Yayınları,Serdar Yıldız,"50,00",18,"41,00",
Terörün Gölgesinde,Evrim Yayınevi,Osman Aysu,"100,00",33,"67,00",
Mali Hamal,Almina Kitap,Turgut Çetin,"50,00",29,"35,50",
Tanık Tehlikede - Macera Geçidi 20,Genç Hayat,Tuncel Altınköprü,"110,00",30,"77,00",
Martin Mystere Sayı: 212,Lal Kitap,Sergio Badino,"70,00",29,"49,70",
Matteo - Birinci Dönem,Flaneur Books,Jean Pierre Gibrat,"450,00",23,"346,50",
"Sen Hayatımın Kadınısın, O Hayallerimin",Flaneur Books,Pedro Brito,"160,00",23,"123,20",
Har,Can Yayınları,Murat Uyurkulak,"150,00",40,"90,00",
Ters Gömlekler,İlgi Kültür Sanat Yayınları,Züleyha Omurtag,"85,00",27,"62,05",
Erteleyiş,Flaneur Books,Jean Pierre Gibrat,"450,00",23,"346,50",
Şeytanname,Can Yayınları,Mihail Bulgakov,"49,00",40,"29,40",
Karganın Uçuşu,Flaneur Books,Jean Pierre Gibrat,"450,00",23,"346,50",
Matteo - İkinci Dönem,Flaneur Books,Jean Pierre Gibrat,"450,00",23,"346,50",
İstanbul`da Bir Yabancı,Can Yayınları,Halide Edib Adıvar,"85,00",40,"51,00",
Boş Zamanlar,Can Yayınları,Cemil Kavukçu,"91,00",40,"54,60",
Savaşın Eşiğinde,Evrim Yayınevi,Bülent Ruscuklu,"100,00",33,"67,00",
Dylan Dog Sayı: 87 - Fobi,Lal Kitap,Paola Barbato,"70,00",29,"49,70",
Go Ustası,Can Yayınları,Yasunari Kawabata,"150,00",40,"90,00",
Odak Noktası,Evrim Yayınevi,Osman Aysu,"100,00",33,"67,00",
Banliyö Kıraathanesi,Edisyon Kitap,Murat Yaykın,"110,00",33,"73,70",
"“Alakız’ım, Sarıkız’ım, Alın Yazım”",Elips Kitap,Hasan Kayıhan,"64,00",33,"42,88",
Cennetin Çeşmeleri,İthaki Yayınları,Arthur C. Clarke,"215,00",55,"96,75",
Ölü veya Diri,Evrim Yayınevi,Osman Aysu,"100,00",33,"67,00",
Nemrut`un Gazabı,Evrim Yayınevi,Osman Aysu,"100,00",33,"67,00",
Meyhanede Hanımlar,İthaki Yayınları,Hüseyin Rahmi Gürpınar,"40,00",45,"22,00",
Define,İthaki Yayınları,Mehmet Rauf,"55,00",45,"30,25",
Alabele,İthaki Yayınları,Beste Naz Karaca,"95,00",45,"52,25",
Nefret Listesi,Yabancı Yayınları,Jennifer Brown,"210,00",45,"115,50",
Tuhaf Şeyler Oluyor,İthaki Yayınları,Kelly Link,"180,00",45,"99,00",
Korkusuz Uçurtma,Evrim Yayınevi,Hale Koray,"100,00",33,"67,00",
Kuşkunun Ötesi,Evrim Yayınevi,Osman Aysu,"100,00",33,"67,00",
Lanetli Kasaba,Payidar Genç,Kübra Kar,"75,00",28,"54,00",
Doksan Üç,Tema Yayınları,Victor Hugo,"184,00",29,"130,64",
Erguvan Renkli Yıllar,Evrim Yayınevi,Uğur Ersoy,"100,00",33,"67,00",
Mehmed Hayri Haside-i Ravbe Neşide-i Külbe Şerh-i Kaside-i Bür`e,Paradigma Akademi Yayınları,Nagehan Çağlayan,"160,00",18,"131,20",
"Gördüklerim, Duyduklarım Ve Düşündüklerim",Evrim Yayınevi,Uğur Ersoy,"100,00",33,"67,00",
Korku,Payidar Yayınevi,Stefan Zweig,"75,00",28,"54,00",
Düşes Marmelat Teyze,Payidar Yayınevi,Elif Pınar,"75,00",28,"54,00",
Çuvaş Yazıları,Paradigma Akademi Yayınları,Bülent Bayram,"540,00",18,"442,80",
Zaman Makinesi,Payidar Yayınevi,H. G. Wells,"75,00",28,"54,00",
Ölümsüzler Ülkesi,Payidar Genç,Kübra Kar,"75,00",28,"54,00",
Fidye,Evrim Yayınevi,Osman Aysu,"100,00",33,"67,00",
Böyle Diye Diye,Özlem Yayınevi,Doğan Soydan,"90,00",32,"61,20",
DIJWAR: Faili Meçhul Cinayetler ve Diyarbakır Cezaevi’ne Dair Her Şey,Kopernik Kitap,Orhan Miroğlu,"189,00",32,"128,52",
Kuzgunlar,GO! Kitap,Danielle Paige,"140,00",28,"100,80",
Kuzgunlar,GO! Kitap,Danielle Paige,"169,00",28,"121,68",
Kanlı Geceler - Kurtarıcı Serisi 1,Panu Kitap,Ceren Oktay,"120,00",33,"80,40",
Herzog,İletişim Yayınevi,Saul Bellow,"295,00",18,"241,90",
Golha’nın Yüzü,Kopernik Kitap,Ahmet Turan Latif Yıldız,"95,00",32,"64,60",
Gece Uçuşu,Smirna Yayınları,Antoine de Saint-Exupery,"95,00",29,"67,45",
Dünya Klasikleri Seti 4 Kitap,Parana Yayınları,Lev Nikolayeviç Tolstoy,"246,00",33,"164,82",
Türkçe Mübarek Bir Dildir,Doğu Kütüphanesi,Hasan Bacanlı,"160,00",23,"123,20",
Aşk ve Kuşku,GO! Kitap,Tirzah Price,"169,00",28,"121,68",
Affet Bizi Marin,Kopernik Kitap,Orhan Miroğlu,"142,00",32,"96,56",
Hevsel Bahçesinde Bir Dut Ağacı,Kopernik Kitap,Orhan Miroğlu,"156,00",32,"106,08",
Dara Durmak - Melek ile Mazlum`un Öyküsü,Etkin Yayınevi,Korkmaz Göçmen,"75,00",27,"54,75",
Aşk ve Kuşku,GO! Kitap,Tirzah Price,"140,00",28,"100,80",
Gladyatörler,İletişim Yayınevi,Arthur Koestler,"248,00",53,"116,56",
Zoenya - Yeşil İsyan,Smirna Yayınları,Elif Bülbül,"105,00",29,"74,55",
Nutuk - Gençler İçin Sadeleştirilmiş,Smirna Yayınları,Mustafa Kemal Atatürk,"120,00",29,"85,20",
Saklı İnsan,Metis Yayınları,Andrey Platonov,"168,00",49,"85,68",
Oyunun Sonu,Smirna Yayınları,Buket Çetin,"105,00",29,"74,55",
Kitap Kaçkınları 4 - Tarihin İzindeyiz,Smirna Yayınları,Atay Sözer,"120,00",29,"85,20",
Sibernetik Kesişmeler,Smirna Yayınları,İlhan Soytürk,"110,00",29,"78,10",
Yarasalar Karanlıkta Uçar,Özlem Yayınevi,Doğan Soydan,"90,00",32,"61,20",
Tütün,Kor Kitap,Dimitır Dimov,"400,00",18,"328,00",
